,date,name,DisplayUnit,mrp
72,2020-05-16 12:05:28,Ishinokamaki 100% Japanese White Rice,5kg,38.8
73,2020-05-16 12:05:28,Join Hing King Oyster Mushroom,250g,2.0
74,2020-05-16 12:05:28,Mummys - Gold Basmati Rice,1kg,4.2
75,2020-05-16 12:05:28,Golden Chef 100% Organic Thai Hom Mail Fragrant Rice,2kg,9.0
76,2020-05-16 12:05:28,Origins Healthfood Just Natural Brown Rice - Short Grain,2.5kg,10.0
77,2020-05-16 12:05:28,FairPrice Soya Sauce - Light,660ml,1.85
78,2020-05-16 12:05:28,IL Pum Korean Premium Rice,4kg,25.6
79,2020-05-16 12:05:28,Lucky Bin Bin Rice Crackers,150g,2.1
80,2020-05-16 12:05:28,Daawat - Select Basmathi Rice,5kg,24.0
81,2020-05-16 12:05:28,Ooty- Ponni Rice,5kg,9.45
82,2020-05-16 12:05:28,Daawat Biryani Basmati Rice - By Sonnamera,1kg,6.6
83,2020-05-16 12:05:28,SongHe AAA Thai Hom Mali Rice,1kg,4.2
84,2020-05-16 12:05:28,Riserva Gallo Italian Rice - Arborio (Big Grains),1kg,5.4
85,2020-05-16 12:05:28,Want Want Rice Crackers - Seaweed,136g,2.8
86,2020-05-16 12:05:28,Pasar 3 in 1 Mushroom,250g,5.05
87,2020-05-16 12:05:28,Malika Gold Basmati Rice,2KG,7.05
88,2020-05-16 12:05:28,Wheel & Star Rice Wine,630ml,10.8
89,2020-05-16 12:05:28,Bamboo Hill Organic Thai Fragrant Rice,1kg,6.95
90,2020-05-16 12:05:28,24 Mantra Organic Idly Rice,5KG,20.86
91,2020-05-16 12:05:28,Flying Man Rice (Brown Rice),1kg,5.2
92,2020-05-16 12:05:28,Biona Organic Sweetened Condensed Coconut Milk,210G,6.3
93,2020-05-16 12:05:28,Brilliance Fragrance 43°N Jilin Sushi Rice - Brown,2.5kg,9.9
94,2020-05-16 12:05:28,Bin Bin Rice Crackers - Spicy Seaweed,135g,2.3
95,2020-05-16 12:05:28,LBS Palm Sugar,450g,3.35
96,2020-05-16 12:05:28,Day'O' Ponni Rice,5kg,7.95
97,2020-05-16 12:05:28,Kara UHT Coconut Milk - Light,200ml,0.9
98,2020-05-16 12:05:28,Golden Knife Rice (Jasmine),5kg,8.5
99,2020-05-16 12:05:28,NAKED Organic Coconut Flower Sugar,350 g,6.9
100,2020-05-16 12:05:28,Bin Bin Rice Crackers - Spicy Seaweed,135g,2.3
101,2020-05-16 12:05:28,Day'O' Ponni Rice,5kg,7.95
102,2020-05-16 12:05:28,Chew's Singapore Fresh Eggs - Cage Free,330g (6 per pack),3.2
103,2020-05-16 12:05:28,Golden Knife Rice (Jasmine),5kg,8.5
104,2020-05-16 12:05:28,Tai Hua Light Soy Sauce - Reduced Salt,305ml,2.9
105,2020-05-16 12:05:28,Kinmemai Japanese Rice - Better Brown,1kg,9.8
106,2020-05-16 12:05:28,Hupco Fresh Lemon,500g,4.5
107,2020-05-16 12:05:28,Iwate Akita Japanese White Rice,5kg,36.0
108,2020-05-16 12:05:28,Lee Kum Kee Soy Sauce - Light,500ml,1.8
109,2020-05-16 12:05:28,Ambikas - Sona Masoori Raw Rice,5kg,11.7
110,2020-05-16 12:05:28,Daawat Quick Cooking Brown Basmati Rice - By Sonnamera,1kg,5.5
111,2020-05-16 12:05:28,Taikoo Natural Cane Sugar - Light Muscovado,350g,2.25
112,2020-05-16 12:05:28,Flying Man Rice (Brown Rice),5kg,20.5
113,2020-05-16 12:05:28,Lal Qilla Majestic Extra Long Grain Basmati Rice,1KG,4.0
114,2020-05-16 12:05:28,Golden Chef Organic Thai Hom Mali Brown Rice,2kg,10.25
115,2020-05-16 12:05:28,FairPrice Thai Hom Mali Superior Fragrant Rice,10kg,25.5
116,2020-05-16 12:05:28,Daawat Everyday Gold Basmati Rice,5KG,17.0
117,2020-05-16 12:05:28,Pasar Malaysia Young Ginger,200g,1.6
118,2020-05-16 12:05:28,Pasar Asparagus Fine,120g,1.95
119,2020-05-16 12:05:28,Brilliance Fragrance 43°N Jilin Japonica Rice,2.5kg,12.5
120,2020-05-16 12:05:28,Brilliance Fragrance 43°N Jilin Japonica Rice,5kg,24.5
121,2020-05-16 12:05:28,Absolute Organic Coconut Milk,400G,5.4
122,2020-05-16 12:05:28,Royal Umbrella Thai Hom Mali Rice,1kg,4.3
123,2020-05-16 12:05:28,Gitangkim Superior Fragrant Rice,5kg,8.2
124,2020-05-16 12:05:28,Adabi Mini Rice Cube,30 per pack,3.75
125,2020-05-16 12:05:28,India Gate - Dubar Basmati Rice,5kg,18.0
126,2020-05-16 12:05:28,SongHe AAA Thai Hom Mali Rice,25kg,61.95
127,2020-05-16 12:05:28,Merito Certified Organic Coconut Milk ,400ml,5.4
128,2020-05-16 12:05:28,Kamchan Organic Germinated Rice - Black,1kg,7.5
129,2020-05-16 12:05:28,AAA Golden F.K. Premium Jasmine Rice,5kg,9.6
130,2020-05-16 12:05:28,India Gate - Classic Basmati Rice,5kg,31.0
131,2020-05-16 12:05:28,Rice Field 100% Pure Rice Bran Oil ,5L,21.35
132,2020-05-16 12:05:28,Shinmei Koshihikari Japanese Rice - Toyama,5kg,40.9
133,2020-05-16 12:05:28,Songhe Noble Red Rice,5kg,21.95
134,2020-05-16 12:05:28,FairPrice Rice Vermicelli (Bee Hoon),400g,1.0
135,2020-05-16 12:05:28,Want Want Rice Crackers - Cheese,96g,2.65
